Comunidad Autónoma;Provincia;Sector Técnico;Subsector Técnico;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Cataluña;Barcelona;Química;Química alimenticia;13;6;5;8;13;6;12;5;4;5
Cataluña;Barcelona;Química;Química de las materias primas;9;6;7;11;7;9;13;6;1;3
Cataluña;Barcelona;Química;Materiales, metalurgia;3;10;12;6;4;5;3;6;2;4
Cataluña;Barcelona;Química;Tecnología de superficie, revestimiento;3;13;13;4;5;2;4;5;2;3
Cataluña;Barcelona;Química;Microestructuras y nano-tecnología;0;1;1;0;1;0;0;0;0;1
Cataluña;Barcelona;Química;Ingeniería química;16;6;11;6;12;6;6;5;4;3
Cataluña;Barcelona;Química;Tecnología ambiental;13;9;8;8;9;9;9;9;5;9
Cataluña;Barcelona;Ingeniería mecánica;Manipulación;31;25;38;22;43;31;29;24;25;14
Cataluña;Barcelona;Ingeniería mecánica;Herramientas;9;10;8;5;10;4;13;0;12;4
Cataluña;Barcelona;Ingeniería mecánica;Motores, bombas, turbinas;12;9;6;10;22;13;3;7;9;5
Cataluña;Barcelona;Ingeniería mecánica;Máquinas del textil y del papel;13;13;5;7;11;10;12;4;12;7
Cataluña;Barcelona;Ingeniería mecánica;Otras máquinas especiales;34;23;15;19;21;18;8;17;19;9
Cataluña;Barcelona;Ingeniería mecánica;térmicos y aparatos;9;11;4;5;17;9;4;5;4;1
Cataluña;Barcelona;Ingeniería mecánica;Elementos mecánicos;6;9;13;15;22;6;10;4;7;5
Cataluña;Barcelona;Ingeniería mecánica;Transporte;15;31;37;32;40;47;35;34;28;18
Cataluña;Barcelona;Otros campos;Mobiliario, juegos;20;20;26;26;24;10;19;12;13;12
Cataluña;Barcelona;Otros campos;Otros bienes de consumo;19;11;20;13;21;14;10;10;12;5
Cataluña;Barcelona;Otros campos;Ingeniería civil;38;38;47;53;57;20;25;30;20;15
País Vasco;Bizkaia;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
País Vasco;Bizkaia;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;2;5;11;13;2;0;2;6;2
País Vasco;Bizkaia;Ingeniería eléctrica;Tecnología audio-visual;1;1;0;0;0;1;0;0;0;0
País Vasco;Bizkaia;Ingeniería eléctrica;Telecomunicaciones;0;2;1;0;1;0;0;0;2;0
País Vasco;Bizkaia;Ingeniería eléctrica;Comunicación Digital;1;0;0;1;0;0;1;1;1;0
País Vasco;Bizkaia;Ingeniería eléctrica;Procesos básicos de la comunicación;3;0;0;0;0;0;0;0;0;0
País Vasco;Bizkaia;Ingeniería eléctrica;Tecnología Informática;0;1;1;1;2;1;2;0;0;0
País Vasco;Bizkaia;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;1;0;0;0;0;0;0;1;1;0
País Vasco;Bizkaia;Ingeniería eléctrica;Semiconductores;1;0;0;0;1;0;0;0;1;0
País Vasco;Bizkaia;Instrumentos;Óptica;2;3;0;0;2;0;0;0;0;0
País Vasco;Bizkaia;Instrumentos;Medida;8;1;2;11;1;2;0;0;1;1
País Vasco;Bizkaia;Instrumentos;Análisis de materiales biológicos;0;0;0;0;1;3;0;0;0;0
País Vasco;Bizkaia;Instrumentos;Control;1;3;2;2;4;1;1;2;2;0
País Vasco;Bizkaia;Instrumentos;Tecnología médica;3;2;1;2;4;1;5;1;1;0
País Vasco;Bizkaia;Química;Química orgánica precisa;1;0;0;1;0;0;2;1;3;0
País Vasco;Bizkaia;Química;Biotecnología;0;0;3;7;3;2;2;1;1;1
País Vasco;Bizkaia;Química;Productos Farmacéuticos;0;0;0;6;1;1;0;0;1;0
País Vasco;Bizkaia;Química;Química macromolecular, polímeros;0;0;0;0;0;1;1;0;0;0
País Vasco;Bizkaia;Química;Química alimenticia;1;0;0;1;1;0;1;0;0;1
País Vasco;Bizkaia;Química;Química de las materias primas;0;0;0;4;2;0;1;1;0;1
País Vasco;Bizkaia;Química;Materiales, metalurgia;0;3;1;1;1;7;1;1;0;0
País Vasco;Bizkaia;Química;Tecnología de superficie, revestimiento;0;0;0;1;0;1;0;0;0;0
País Vasco;Bizkaia;Química;Microestructuras y nano-tecnología;0;1;1;0;1;0;0;0;0;0
País Vasco;Bizkaia;Química;Ingeniería química;0;2;3;3;4;5;2;3;0;3
País Vasco;Bizkaia;Química;Tecnología ambiental;3;1;0;3;3;1;4;1;0;1
País Vasco;Bizkaia;Ingeniería mecánica;Manipulación;7;15;5;1;3;4;2;1;3;3
País Vasco;Bizkaia;Ingeniería mecánica;Herramientas;6;10;8;3;6;2;5;1;2;2
País Vasco;Bizkaia;Ingeniería mecánica;Motores, bombas, turbinas;0;2;2;10;8;9;5;6;12;4
País Vasco;Bizkaia;Ingeniería mecánica;Máquinas del textil y del papel;2;0;0;0;0;2;0;0;0;1
País Vasco;Bizkaia;Ingeniería mecánica;Otras máquinas especiales;1;1;4;5;2;2;3;3;0;0
País Vasco;Bizkaia;Ingeniería mecánica;térmicos y aparatos;7;5;1;2;4;3;2;0;0;1
País Vasco;Bizkaia;Ingeniería mecánica;Elementos mecánicos;8;2;4;1;7;2;2;1;0;1
País Vasco;Bizkaia;Ingeniería mecánica;Transporte;2;5;6;2;13;8;8;3;2;3
País Vasco;Bizkaia;Otros campos;Mobiliario, juegos;9;4;2;3;2;2;3;2;1;2
País Vasco;Bizkaia;Otros campos;Otros bienes de consumo;0;3;4;3;0;2;0;0;0;0
País Vasco;Bizkaia;Otros campos;Ingeniería civil;16;16;6;11;8;4;5;10;4;2
Castilla y León;Burgos;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;0;0;1;0;2;0;1;0;2
Castilla y León;Burgos;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Ingeniería eléctrica;Telecomunicaciones;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Ingeniería eléctrica;Tecnología Informática;0;0;0;0;0;1;0;0;0;1
Castilla y León;Burgos;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;1;0;0;0;0
Castilla y León;Burgos;Ingeniería eléctrica;Semiconductores;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Instrumentos;Óptica;0;0;0;0;0;0;0;0;1;0
Castilla y León;Burgos;Instrumentos;Medida;0;0;4;0;1;2;3;1;4;4
Castilla y León;Burgos;Instrumentos;Análisis de materiales biológicos;0;0;0;0;0;0;1;0;1;0
Castilla y León;Burgos;Instrumentos;Control;1;1;0;0;1;1;0;0;1;1
Castilla y León;Burgos;Instrumentos;Tecnología médica;2;0;0;1;1;2;1;0;2;0
Castilla y León;Burgos;Química;Química orgánica precisa;4;0;0;3;1;3;3;1;3;0
Castilla y León;Burgos;Química;Biotecnología;0;0;1;0;0;1;0;0;0;0
Castilla y León;Burgos;Química;Productos Farmacéuticos;0;0;0;0;1;0;0;0;0;0
Castilla y León;Burgos;Química;Química macromolecular, polímeros;0;1;0;0;0;0;0;2;0;4
Castilla y León;Burgos;Química;Química alimenticia;2;0;1;0;0;1;0;0;2;0
Castilla y León;Burgos;Química;Química de las materias primas;0;0;0;1;0;0;0;0;0;0
Castilla y León;Burgos;Química;Materiales, metalurgia;1;0;1;3;2;4;3;1;2;4
Castilla y León;Burgos;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;0;0;0;1;1
Castilla y León;Burgos;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Química;Ingeniería química;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Química;Tecnología ambiental;2;0;0;0;0;2;1;0;0;0
Castilla y León;Burgos;Ingeniería mecánica;Manipulación;1;1;0;1;0;1;1;1;0;2
Castilla y León;Burgos;Ingeniería mecánica;Herramientas;0;0;0;1;2;0;1;0;0;0
Castilla y León;Burgos;Ingeniería mecánica;Motores, bombas, turbinas;0;1;1;0;1;0;0;2;1;0
Castilla y León;Burgos;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Ingeniería mecánica;Otras máquinas especiales;0;3;1;3;3;1;1;0;2;0
Castilla y León;Burgos;Ingeniería mecánica;térmicos y aparatos;3;4;2;2;1;0;0;0;0;1
Castilla y León;Burgos;Ingeniería mecánica;Elementos mecánicos;0;0;0;0;0;0;0;0;0;0
Castilla y León;Burgos;Ingeniería mecánica;Transporte;3;0;3;1;2;1;0;0;1;1
Castilla y León;Burgos;Otros campos;Mobiliario, juegos;0;0;0;0;0;0;0;0;0;3
Castilla y León;Burgos;Otros campos;Otros bienes de consumo;0;1;0;3;1;0;0;0;0;0
Castilla y León;Burgos;Otros campos;Ingeniería civil;1;1;2;2;2;0;0;0;1;1
Cantabria;Cantabria;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Cantabria;Cantabria;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;3;0;0;5;0;1;2;1;1
Cantabria;Cantabria;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
Cantabria;Cantabria;Ingeniería eléctrica;Telecomunicaciones;1;0;0;0;2;0;0;1;0;0
Cantabria;Cantabria;Ingeniería eléctrica;Comunicación Digital;1;0;1;0;1;0;0;0;0;0
Cantabria;Cantabria;Ingeniería eléctrica;Procesos básicos de la comunicación;1;0;1;1;0;0;0;0;0;0
Cantabria;Cantabria;Ingeniería eléctrica;Tecnología Informática;0;0;1;3;0;1;1;1;1;1
Cantabria;Cantabria;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;1;0;0;0;0;0;0
Cantabria;Cantabria;Ingeniería eléctrica;Semiconductores;1;0;0;0;0;0;0;0;0;0
Cantabria;Cantabria;Instrumentos;Óptica;1;0;0;0;2;1;0;0;0;0
Cantabria;Cantabria;Instrumentos;Medida;5;0;3;2;8;3;4;0;4;3
Cantabria;Cantabria;Instrumentos;Análisis de materiales biológicos;0;0;0;0;0;0;0;0;0;0
Cantabria;Cantabria;Instrumentos;Control;0;2;2;1;1;0;0;2;0;0
Cantabria;Cantabria;Instrumentos;Tecnología médica;1;5;1;2;3;1;0;2;1;0
Cantabria;Cantabria;Química;Química orgánica precisa;1;0;0;1;0;0;0;0;0;0
Cantabria;Cantabria;Química;Biotecnología;1;0;1;1;2;2;0;0;1;2
Cantabria;Cantabria;Química;Productos Farmacéuticos;0;0;1;0;0;1;0;3;1;0
Cantabria;Cantabria;Química;Química macromolecular, polímeros;0;0;0;0;0;1;0;0;0;0
Cantabria;Cantabria;Química;Química alimenticia;1;0;0;0;0;2;1;0;1;0
Cantabria;Cantabria;Química;Química de las materias primas;0;0;0;0;1;1;0;0;0;0
Cantabria;Cantabria;Química;Materiales, metalurgia;0;0;0;1;0;0;2;0;1;0
Cantabria;Cantabria;Química;Tecnología de superficie, revestimiento;0;0;0;1;0;0;0;0;0;1
Cantabria;Cantabria;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
Cantabria;Cantabria;Química;Ingeniería química;0;2;2;3;0;0;2;0;0;0
Cantabria;Cantabria;Química;Tecnología ambiental;0;3;2;1;0;0;1;0;2;3
Cantabria;Cantabria;Ingeniería mecánica;Manipulación;1;0;0;0;0;0;0;1;2;0
Cantabria;Cantabria;Ingeniería mecánica;Herramientas;1;0;0;0;0;0;1;0;0;0
Cantabria;Cantabria;Ingeniería mecánica;Motores, bombas, turbinas;3;0;1;1;4;2;3;0;1;2
Cantabria;Cantabria;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Cantabria;Cantabria;Ingeniería mecánica;Otras máquinas especiales;0;2;1;0;1;1;0;2;0;1
Cantabria;Cantabria;Ingeniería mecánica;térmicos y aparatos;3;2;0;1;1;0;0;0;1;0
Cantabria;Cantabria;Ingeniería mecánica;Elementos mecánicos;0;1;1;0;0;1;0;0;1;2
Cantabria;Cantabria;Ingeniería mecánica;Transporte;3;2;1;3;5;1;1;0;0;0
Cantabria;Cantabria;Otros campos;Mobiliario, juegos;0;0;1;1;0;0;0;0;1;0
Cantabria;Cantabria;Otros campos;Otros bienes de consumo;0;0;0;1;0;0;0;1;1;2
Cantabria;Cantabria;Otros campos;Ingeniería civil;7;3;5;2;2;3;1;4;4;1
Comunidad Valenciana;Castellón;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Comunidad Valenciana;Castellón;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;0;0;0;0;0;1;0;0;0
Comunidad Valenciana;Castellón;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
Comunidad Valenciana;Castellón;Ingeniería eléctrica;Telecomunicaciones;0;0;0;0;0;1;0;0;0;0
Comunidad Valenciana;Castellón;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;0;0;0;0
Comunidad Valenciana;Castellón;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Comunidad Valenciana;Castellón;Ingeniería eléctrica;Tecnología Informática;3;0;0;0;0;0;0;0;1;0
Comunidad Valenciana;Castellón;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;1;0;0;0;0;1;0;0
Comunidad Valenciana;Castellón;Ingeniería eléctrica;Semiconductores;0;0;0;0;1;0;0;0;0;0
Comunidad Valenciana;Castellón;Instrumentos;Óptica;1;0;0;1;0;0;1;0;0;0
Comunidad Valenciana;Castellón;Instrumentos;Medida;1;0;1;1;1;2;0;0;0;0
Comunidad Valenciana;Castellón;Instrumentos;Análisis de materiales biológicos;0;0;0;1;0;0;0;0;1;0
Comunidad Valenciana;Castellón;Instrumentos;Control;0;0;0;0;0;0;0;0;0;0
Comunidad Valenciana;Castellón;Instrumentos;Tecnología médica;2;0;1;2;2;0;1;0;2;0
Comunidad Valenciana;Castellón;Química;Química orgánica precisa;1;0;0;0;1;2;1;0;1;1
Comunidad Valenciana;Castellón;Química;Biotecnología;0;0;0;0;0;0;0;0;0;0
Comunidad Valenciana;Castellón;Química;Productos Farmacéuticos;0;0;0;0;0;0;0;0;1;1
Comunidad Valenciana;Castellón;Química;Química macromolecular, polímeros;1;0;0;0;0;0;0;0;2;0
Comunidad Valenciana;Castellón;Química;Química alimenticia;1;0;0;0;0;1;1;1;1;0
Comunidad Valenciana;Castellón;Química;Química de las materias primas;2;1;2;1;2;4;2;2;4;0
Comunidad Valenciana;Castellón;Química;Materiales, metalurgia;1;1;3;6;3;2;1;1;2;3
Comunidad Valenciana;Castellón;Química;Tecnología de superficie, revestimiento;0;0;0;2;0;1;0;0;1;0
Comunidad Valenciana;Castellón;Química;Microestructuras y nano-tecnología;0;0;0;0;1;0;1;0;0;1
Comunidad Valenciana;Castellón;Química;Ingeniería química;2;0;0;2;3;1;0;2;1;0
Comunidad Valenciana;Castellón;Química;Tecnología ambiental;0;1;0;0;1;1;1;0;0;0
Comunidad Valenciana;Castellón;Ingeniería mecánica;Manipulación;2;0;1;1;4;0;2;2;1;0
Comunidad Valenciana;Castellón;Ingeniería mecánica;Herramientas;0;0;2;0;0;0;0;0;0;0
Comunidad Valenciana;Castellón;Ingeniería mecánica;Motores, bombas, turbinas;0;0;0;2;0;2;1;2;1;0
Comunidad Valenciana;Castellón;Ingeniería mecánica;Máquinas del textil y del papel;1;2;1;0;2;3;3;3;0;1
Comunidad Valenciana;Castellón;Ingeniería mecánica;Otras máquinas especiales;2;3;3;5;6;4;2;1;1;0
Comunidad Valenciana;Castellón;Ingeniería mecánica;térmicos y aparatos;0;2;1;1;1;0;2;0;0;1
Comunidad Valenciana;Castellón;Ingeniería mecánica;Elementos mecánicos;0;1;0;0;0;1;1;0;0;0
Comunidad Valenciana;Castellón;Ingeniería mecánica;Transporte;0;1;1;1;0;0;0;0;0;0
Comunidad Valenciana;Castellón;Otros campos;Mobiliario, juegos;1;1;3;2;0;0;1;0;0;0
Comunidad Valenciana;Castellón;Otros campos;Otros bienes de consumo;1;1;0;1;0;0;0;0;1;0
Comunidad Valenciana;Castellón;Otros campos;Ingeniería civil;13;6;5;5;12;3;4;3;0;3
Ceuta;Ceuta;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;0;0;0;0;1;0;0;0;0;0
Ceuta;Ceuta;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería eléctrica;Telecomunicaciones;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería eléctrica;Tecnología Informática;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería eléctrica;Semiconductores;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Instrumentos;Óptica;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Instrumentos;Medida;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Instrumentos;Análisis de materiales biológicos;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Instrumentos;Control;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Instrumentos;Tecnología médica;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Química orgánica precisa;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Biotecnología;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Productos Farmacéuticos;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Química macromolecular, polímeros;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Química alimenticia;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Química de las materias primas;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Materiales, metalurgia;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Ingeniería química;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Química;Tecnología ambiental;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería mecánica;Manipulación;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería mecánica;Herramientas;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería mecánica;Motores, bombas, turbinas;0;0;1;0;1;0;0;0;0;0
Ceuta;Ceuta;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería mecánica;Otras máquinas especiales;0;0;0;0;0;0;0;0;0;1
Ceuta;Ceuta;Ingeniería mecánica;térmicos y aparatos;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería mecánica;Elementos mecánicos;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Ingeniería mecánica;Transporte;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Otros campos;Mobiliario, juegos;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Otros campos;Otros bienes de consumo;0;0;0;0;0;0;0;0;0;0
Ceuta;Ceuta;Otros campos;Ingeniería civil;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;0;0;0;2;1;1;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería eléctrica;Telecomunicaciones;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;2;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería eléctrica;Tecnología Informática;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;0;0;0;0;1
Castilla-La Mancha;Ciudad Real;Ingeniería eléctrica;Semiconductores;0;1;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Instrumentos;Óptica;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Instrumentos;Medida;0;0;0;2;0;0;0;1;0;0
Castilla-La Mancha;Ciudad Real;Instrumentos;Análisis de materiales biológicos;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Instrumentos;Control;0;0;0;0;2;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Instrumentos;Tecnología médica;1;0;0;0;0;1;0;0;0;1
Castilla-La Mancha;Ciudad Real;Química;Química orgánica precisa;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Biotecnología;1;1;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Productos Farmacéuticos;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Química macromolecular, polímeros;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Química alimenticia;0;0;1;2;0;0;0;1;0;0
Castilla-La Mancha;Ciudad Real;Química;Química de las materias primas;1;0;0;1;1;1;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Materiales, metalurgia;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Ingeniería química;1;0;0;0;0;1;0;0;0;0
Castilla-La Mancha;Ciudad Real;Química;Tecnología ambiental;0;0;0;0;0;0;0;1;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería mecánica;Manipulación;0;0;1;1;0;1;0;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería mecánica;Herramientas;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería mecánica;Motores, bombas, turbinas;0;0;0;1;1;0;0;0;0;1
Castilla-La Mancha;Ciudad Real;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Ciudad Real;Ingeniería mecánica;Otras máquinas especiales;1;0;2;0;1;1;1;3;3;3
Castilla-La Mancha;Ciudad Real;Ingeniería mecánica;térmicos y aparatos;0;0;0;0;1;0;0;0;1;0
Castilla-La Mancha;Ciudad Real;Ingeniería mecánica;Elementos mecánicos;1;0;0;0;1;0;0;0;0;1
Castilla-La Mancha;Ciudad Real;Ingeniería mecánica;Transporte;0;1;0;0;3;0;1;0;0;0
Castilla-La Mancha;Ciudad Real;Otros campos;Mobiliario, juegos;0;0;1;1;0;0;1;0;1;0
Castilla-La Mancha;Ciudad Real;Otros campos;Otros bienes de consumo;0;0;1;0;0;1;0;1;0;0
Castilla-La Mancha;Ciudad Real;Otros campos;Ingeniería civil;0;0;2;0;0;0;0;0;0;3
Castilla-La Mancha;Cuenca;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería eléctrica;Telecomunicaciones;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;0;0;1;0
Castilla-La Mancha;Cuenca;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería eléctrica;Tecnología Informática;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;1;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería eléctrica;Semiconductores;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Instrumentos;Óptica;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Instrumentos;Medida;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Instrumentos;Análisis de materiales biológicos;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Instrumentos;Control;0;0;0;0;0;0;0;1;0;1
Castilla-La Mancha;Cuenca;Instrumentos;Tecnología médica;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Química orgánica precisa;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Biotecnología;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Productos Farmacéuticos;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Química macromolecular, polímeros;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Química alimenticia;0;0;0;0;0;0;0;0;1;1
Castilla-La Mancha;Cuenca;Química;Química de las materias primas;0;0;0;1;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Materiales, metalurgia;0;0;1;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Química;Ingeniería química;0;1;0;0;0;0;0;0;1;0
Castilla-La Mancha;Cuenca;Química;Tecnología ambiental;1;0;0;1;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería mecánica;Manipulación;0;0;0;0;0;2;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería mecánica;Herramientas;0;0;0;0;0;0;0;0;0;1
Castilla-La Mancha;Cuenca;Ingeniería mecánica;Motores, bombas, turbinas;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería mecánica;Otras máquinas especiales;0;0;0;1;0;0;1;0;2;1
Castilla-La Mancha;Cuenca;Ingeniería mecánica;térmicos y aparatos;0;0;0;0;1;1;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería mecánica;Elementos mecánicos;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Cuenca;Ingeniería mecánica;Transporte;0;0;0;1;0;0;0;0;0;0
