Origin,Office,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Spain,Philippines,0,0,0,0,0,24,0,0,24,30,25,26,29,17,NULL
Spain,Poland,36,9,6,4,8,1,1,2,1,1,3,0,3,2,NULL
Spain,Portugal,23,21,13,9,24,12,14,4,5,5,3,4,8,2,NULL
Spain,Qatar,0,0,0,0,0,0,0,2,5,10,0,10,10,0,NULL
Spain,Republic of Korea,72,90,110,95,71,99,118,132,135,136,146,138,150,159,NULL
Spain,Republic of Moldova,0,0,1,2,1,0,0,0,0,1,1,5,0,0,NULL
Spain,Romania,1,2,2,0,1,1,1,1,0,0,0,0,2,0,NULL
Spain,Russian Federation,62,96,137,152,107,150,141,156,137,129,100,121,110,118,NULL
Spain,Saudi Arabia,0,0,0,0,0,7,19,0,10,3,24,20,25,30,NULL
Spain,Serbia,0,0,1,2,0,2,0,0,0,1,0,0,1,0,NULL
Spain,Singapore,13,38,24,26,29,33,40,57,41,47,44,44,23,36,NULL
Spain,Slovakia,0,0,2,0,2,0,0,0,0,0,0,0,0,0,NULL
Spain,Slovenia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Spain,South Africa,0,0,0,0,0,48,62,101,88,112,106,62,75,58,NULL
Spain,Spain,3040,3111,3267,3632,3596,3566,3430,3266,3026,2953,2799,2745,2167,1525,1358
Spain,Sri Lanka,0,0,0,1,0,0,0,0,0,0,2,1,0,0,NULL
Spain,Sudan,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NULL
Spain,Sweden,3,2,3,0,0,0,1,0,0,3,3,1,3,1,NULL
Spain,Switzerland,3,4,6,6,5,4,4,5,2,0,4,5,5,8,NULL
Spain,Thailand,0,0,0,0,0,0,3,10,7,17,25,23,18,13,NULL
Spain,Tunisia,0,0,0,0,0,0,0,0,0,0,17,0,7,15,NULL
Spain,Turkey,0,0,8,1,2,0,5,6,3,6,2,2,1,5,NULL
Spain,Ukraine,15,33,28,19,20,27,37,39,34,39,27,24,15,13,NULL
Spain,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,30,27,NULL
Spain,United Kingdom,71,58,52,53,55,59,59,63,61,41,51,42,61,30,NULL
Spain,United States of America,701,844,966,1216,1162,1422,1501,1641,1707,1640,1671,1790,2001,1962,NULL
Spain,Uruguay,0,0,0,26,0,57,29,36,0,20,19,0,10,0,NULL
Spain,Uzbekistan,1,0,1,1,1,1,1,1,0,2,4,4,1,0,NULL
Spain,Viet Nam,0,0,0,0,0,16,26,0,0,0,0,12,16,23,NULL
Spain,Yemen,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NULL
